abandonner
abattre
absence
absolu
absolument
accent
accepter
accompagner
accomplir
accord
accorder
accrocher
accuser
acheter
achever
action
admettre
adresser
affaire
affirmer
afin de
agiter
ailleurs
ajouter
allumer
amener
amuser
ancien
anglais
anglais
angoisse
animal
animer
annoncer
apercevoir
apparaître
apparence
appartement
appartenir
appeler
apporter
apprendre
approcher
appuyer
argent
arracher
arrêter
arrière
arrivée
arriver
article
aspect
asseoir
assister
assurer
attacher
attaquer
atteindre
attendre
attention
attirer
attitude
aujourd'hui
auprès
auquel
aussitôt
autant
auteur
autorité
autour
autrefois
autrement
avance
avancer
avenir
aventure
avouer
baisser
bataille
battre
beaucoup
beauté
besoin
bientôt
billet
bonheur
bouche
branche
briller
briser
brûler
brusquement
bureau
cabinet
cacher
calmer
camarade
campagne
capable
caractère
caresser
casser
causer
centre
cependant
cercle
certain
certain
certainement
certes
cerveau
cesser
chacun
chaîne
chaise
chaleur
chambre
chance
changement
changer
chanter
chaque
charge
charger
chasse
chasser
chemin
chemise
chercher
cheval
cheveu
chiffre
choisir
cinquante
circonstance
claire
classe
colère
colline
combat
combien
commander
commencement
commencer
comment
comment
commun
compagnie
compagnon
complet
complètement
composer
comprendre
compte
compter
conclure
condamner
condition
conduire
confiance
confier
confondre
connaissance
connaître
conscience
conseil
consentir
considérer
construire
consulter
contenir
content
contenter
continuer
contraire
contre
convenir
conversation
couche
coucher
couler
couleur
couper
courage
courant
courir
course
coûter
couvrir
craindre
crainte
creuser
croire
croiser
cuisine
curieux
curiosité
d'abord
danger
dangereux
danser
d'autres
d'autres
davantage
debout
déchirer
décider
déclarer
découvrir
décrire
défaut
défendre
dégager
dehors
dehors
demain
demain
demande
demander
demeurer
départ
dépasser
déposer
depuis
depuis
dernier
dernier
derrière
descendre
désert
désespoir
désigner
désirer
désormais
dessiner
dessus
détacher
détail
détruire
devant
devant
devenir
deviner
devoir
devoir
différent
difficile
dimanche
direction
diriger
discours
discussion
discuter
disparaître
disposer
distance
distinguer
divers
docteur
dominer
donner
dormir
double
doucement
douceur
douleur
douter
dresser
droite
droite
durant
écarter
échapper
éclairer
éclater
écouter
écraser
écrire
effacer
effort
également
élément
élever
éloigner
embrasser
emmener
émotion
empêcher
empire
employer
emporter
encore
endormir
endroit
énergie
enfance
enfant
enfermer
enfoncer
engager
enlever
ennemi
énorme
ensemble
ensemble
ensuite
entendre
entier
entourer
entraîner
entrée
entrer
entretenir
envelopper
environ
envoyer
épaule
époque
éprouver
erreur
escalier
espace
espèce
espérer
espoir
esprit
essayer
essuyer
établir
étaler
éteindre
étendre
étendue
éternel
étoile
étonner
étouffer
étrange
étranger
étranger
étroit
étudier
événement
éviter
examiner
exécuter
exemple
exiger
existence
exister
expérience
expliquer
exposer
expression
exprimer
extraordinaire
facile
faible
falloir
famille
fatigue
fatiguer
fauteuil
faveur
fenêtre
fermer
feuille
fidèle
figure
figurer
flamme
fonction
fonder
forcer
former
fortune
français
français
franchir
françois
frapper
gagner
garçon
garder
gauche
gauche
général
général
glisser
gloire
goutte
gouvernement
grandir
groupe
guerre
habiller
habitant
habiter
habitude
hasard
hauteur
hésiter
heureux
histoire
honneur
horizon
humain
humide
ignorer
imaginer
immense
immobile
importance
important
importer
imposer
impossible
impression
inconnu
indiquer
inquiéter
inquiétude
inspirer
installer
instant
instinct
intelligence
intention
intéresser
intérêt
intérieur
intérieur
interroger
interrompre
inutile
inventer
inviter
jamais
jardin
jeunesse
joindre
journal
journée
jusque
justice
lendemain
lentement
lequel
lettre
liberté
lisser
livrer
longtemps
lorsque
lumière
lutter
machine
madame
magnifique
maintenant
maintenir
maison
maître
malade
maladie
malgré
malheur
manger
manier
manquer
marchand
marche
marché
marcher
mariage
marier
marquer
matière
mauvais
médecin
meilleur
membre
mémoire
menacer
mensonge
mentir
mériter
mesure
métier
mettre
milieu
militaire
million
ministre
minute
moindre
moitié
moment
monsieur
montagne
monter
montrer
morceau
mourir
mouvement
musique
naissance
naître
nation
nature
naturel
naturellement
nécessaire
nerveux
nombre
nombreux
nommer
nourrir
nouveau
nouveau
obliger
observer
obtenir
occasion
occuper
oeuvre
officier
offrir
oiseau
oreille
oublier
ouvert
ouvrage
ouvrir
palais
papier
paquet
paraître
parce que
parcourir
pareil
parent
parfaitement
parfois
parler
parole
partager
particulier
partie
partir
partout
parvenir
passage
passer
passion
patron
paupière
pauvre
pauvre
paysage
paysan
pencher
pendant
pendre
pénétrer
pensée
penser
perdre
permettre
personnage
personne
personne
peuple
phrase
pierre
placer
plaindre
plaine
plaire
plaisir
planche
plante
pleurer
plonger
plusieurs
plutôt
poésie
pointe
poitrine
police
politique
politique
porter
portier
position
posséder
possible
pourquoi
pourquoi
poursuivre
pourtant
pousser
poussière
pouvoir
pouvoir
précéder
précieux
précipiter
précis
préférer
premier
premier
prendre
préparer
présence
présent
présent
présenter
président
presque
presser
prétendre
prêter
preuve
prévenir
prévoir
prière
prince
principe
printemps
prison
problème
prochain
produire
professeur
profiter
profond
profondément
projet
promener
promettre
prononcer
propos
proposer
propre
protéger
prouver
public
public
puisque
puissance
puissant
qualité
quant à
quarante
quartier
quatre
quelque
quelque
quelqu'un
question
quinze
quitter
raconter
raison
ramasser
ramener
rapide
rapidement
rappeler
rapport
rapporter
rassurer
réalité
recevoir
recherche
réclamer
recommencer
reconnaître
recueillir
reculer
réduire
réfléchir
réflexion
refuser
regard
regarder
regretter
rejeter
rejoindre
relation
relever
religion
remarquer
remercier
remettre
remonter
remplacer
remplir
rencontre
rencontrer
rendre
renoncer
rentrer
renverser
répandre
répéter
répondre
réponse
reposer
repousser
reprendre
représenter
réserver
résistance
résister
résoudre
respect
respecter
respirer
ressembler
rester
résultat
retenir
retirer
retomber
retour
retourner
retrouver
réunir
réussir
réveiller
révéler
revenir
revoir
révolution
rideau
risquer
rocher
